station_id,대여소명,주소,station_lat,station_lon,station_elevation_m,nearest_subway_name,nearest_subway_distance_m,subway_elevation_m,elevation_diff_nearest_subway_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,bus_elevation_m,elevation_diff_nearest_bus_stop_m,nearest_park_name,nearest_park_distance_m,nearest_park_area_sqm,park_elevation_m,elevation_diff_nearest_park_m,distance_naturepark_m,inside_naturepark,distance_river_boundary_m
2301, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,15.0,압구정,676.3932200344976,29.0,-14.0,신사중학교,31.690509908237257,16.0,-1.0,도산근린공원,1169.5472992568225,29816.5,30.0,-15.0,1943.599,0,510.63
2302, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,20.0,신논현,129.30158007069147,27.0,-7.0,교보타워,24.71282136601628,23.0,-3.0,도산근린공원,2325.377527410613,29816.5,30.0,-10.0,1607.119,0,1991.707
2303, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,32.0,논현,31.250221522971053,32.0,0.0,영동시장.논현역1번출구,87.59318743939798,31.0,1.0,도산근린공원,1902.7002973063866,29816.5,30.0,2.0,1768.31,0,1445.254
2304, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,65.0,학동,455.99558563352826,41.0,24.0,논현아이파크,58.75082200835278,70.0,-5.0,도산근린공원,1451.9099832858928,29816.5,30.0,35.0,2319.819,0,2262.668
2305, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,21.0,강남구청,683.8902474091004,59.0,-38.0,제일은행.호림아트센터앞,110.9219644070067,26.0,-5.0,도산근린공원,450.9006871740943,29816.5,30.0,-9.0,2960.419,0,1348.501
2306, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,29.0,압구정,23.266637636051197,29.0,0.0,압구정역3번출구,124.65313689192422,27.0,2.0,도산근린공원,619.6346411922685,29816.5,30.0,-1.0,2100.553,0,716.279
2307, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,21.0,압구정로데오,173.99806305580933,25.0,-4.0,압구정로데오,19.20999073763878,21.0,0.0,도산근린공원,541.7172119919788,29816.5,30.0,-9.0,2798.271,0,413.129
2308, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,21.0,압구정로데오,484.7372548025296,25.0,-4.0,압구정파출소,63.342915304655854,21.0,0.0,도산근린공원,516.7741125358261,29816.5,30.0,-9.0,2482.054,0,406.66
2309, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,39.0,청담,353.45653787576214,42.0,-3.0,SM엔터테인먼트,128.9069675498341,37.0,2.0,청담근린공원,381.9201251213382,59347.0,68.0,-29.0,2996.729,0,997.538
2310, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,27.0,압구정로데오,420.1698862481745,25.0,2.0,일지아트홀.압구정노인복지관,91.6138829666312,24.0,3.0,도산근린공원,469.00325411300037,29816.5,30.0,-3.0,3149.621,0,880.778
2311, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,59.0,강남구청,168.44798043937465,59.0,0.0,청담동래미안아파트,16.256951174321184,59.0,0.0,청담근린공원,920.8140351415318,59347.0,68.0,-9.0,2879.813,0,1407.314
2312, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,29.0,청담,295.3513348985482,42.0,-13.0,청담역.경기고교,46.76658274923954,27.0,2.0,청담근린공원,351.642057675519,59347.0,68.0,-39.0,3235.494,0,481.473
2313, 금원빌딩 앞,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,28.0,청담,644.1989428798224,42.0,-14.0,프리마호텔,67.75520066387217,28.0,0.0,청담근린공원,421.43845571544546,59347.0,68.0,-40.0,3694.053,0,328.986
2314, 청담나들목입구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,33.0,청담,627.1679745915606,42.0,-9.0,청담역.경기고교,277.2706009276627,36.0,-3.0,청담근린공원,679.7046424881831,59347.0,68.0,-35.0,3358.504,0,262.081
2315, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,23.0,봉은사,77.16079792992284,23.0,0.0,봉은사역5번출구.광동한방병원,98.13579228086638,23.0,0.0,봉은공원,497.4321171888095,328018.0,46.0,-23.0,2667.558,0,566.299
2316, 삼성역 8번출구,서울특별시 강남구 영동대로 502,37.50957489,127.0634079,24.0,삼성,79.76706165436698,18.0,6.0,삼성역,31.939693569057273,12.0,12.0,봉은공원,847.678596251845,328018.0,46.0,-22.0,2283.273,0,421.637
2317, 삼성도로공원,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026,22.0,봉은사,557.0782178184421,23.0,-1.0,탄천공영차고지,121.73962362972723,16.0,6.0,봉은공원,969.5726549120141,328018.0,46.0,-24.0,3016.81,0,97.896
